serviceId;providerId;name;category;lat;lng;city;address;description;galleryUrls;priceFrom;ratingAverage;amenities;
s111;u010;Hue Airport to City Private Car;Car;164.674;1.075.851;Huế;Phu Bai Airport;Xe riêng 4 chỗ đón/trả sân bay Phú Bài.;https://cdn.example.com/cars/s111/1.jpg;300000;4.5;"Giá cố định;Tài xế chuyên nghiệp";
s112;u001;JW Marriott Hotel Hanoi;Hotel;210.300;1.057.833;Hà Nội;Do Duc St;Khách sạn 5 sao thiết kế hình Rồng, gần trung tâm hội nghị.;https://cdn.example.com/hotels/s112/img1.jpg;3500000;4.8;"Phòng họp;Gym 24h;Hồ bơi";
s113;u002;Son Doong Expedition 4D3N;Tour;176.072;1.062.750;Quảng Bình;Phong Nha Town;Tour thám hiểm hang Sơn Đoòng lớn nhất thế giới.;https://cdn.example.com/tours/s113/1.jpg;68000000;5.0;"Porter;Thiết bị an toàn;Bữa ăn cao cấp";
s114;u003;Vinpearl Discovery Nha Trang;Hotel;122.333;1.091.966;Nha Trang;Hon Tre Island;Resort 5 sao trên đảo Hòn Tre, gần VinWonders.;https://cdn.example.com/hotels/s114/img1.jpg;3000000;4.6;"Vé VinWonders;Bãi biển riêng;Buffet";
s115;u004;Con Dao Prison Tour;Tour;87.167;1.066.000;Côn Đảo;Nguyen Chi Thanh St;Tham quan các di tích lịch sử nhà tù Côn Đảo.;https://cdn.example.com/tours/s115/1.jpg;40000;4.7;"Vé tham quan;Hướng dẫn viên";
s116;u005;HCMC to Can Tho Private Car;Car;107.500;1.066.667;TP.HCM;District 1;Xe riêng 7 chỗ từ TP.HCM đi Cần Thơ.;https://cdn.example.com/cars/s116/1.jpg;1600000;4.5;"Giá trọn gói;Nước suối";
s117;u006;The Alcove Library Hotel;Hotel;108.000;1.066.667;TP.HCM;Phu Nhuan Dist;Khách sạn boutique với concept thư viện, yên tĩnh.;https://cdn.example.com/hotels/s117/img1.jpg;1300000;4.5;"Wifi;Sách;Ăn sáng";
s118;u007;Da Lat Tuyen Lam Lake Kayaking;Experience;118.900;1.084.000;Đà Lạt;Tuyen Lam Lake;Chèo thuyền Kayak ngắm cảnh hồ Tuyền Lâm.;https://cdn.example.com/exp/s118/1.jpg;150000;4.4;"Kayak đôi;Áo phao";
s119;u008;Hanoi Ceramics Museum Ticket;Experience;210.333;1.058.500;Hà Nội;Bat Trang Village;Vé tham quan bảo tàng gốm sứ Bát Tràng.;https://cdn.example.com/exp/s119/1.jpg;50000;4.3;"Vé vào cửa;Tìm hiểu gốm";
s120;u009;Mui Ne Lotus Resort;Hotel;109.333;1.082.833;Phan Thiết;Nguyen Dinh Chieu St;Resort 4 sao, kiến trúc truyền thống, gần biển.;https://cdn.example.com/hotels/s120/img1.jpg;1500000;4.4;"Vườn hoa;Hồ bơi;Bãi biển";
s121;u010;Hue Royal Dinner Experience;Experience;164.674;1.075.851;Huế;City Center;Trải nghiệm bữa tối Cung Đình Huế với âm nhạc truyền thống.;https://cdn.example.com/exp/s121/1.jpg;800000;4.7;"Trang phục Cung Đình;Âm nhạc;Thực đơn Hoàng Gia";
s122;u001;InterContinental Danang Sun Peninsula Resort;Hotel;161.500;1.082.320;Đà Nẵng;Son Tra Peninsula;Resort 5 sao được thiết kế bởi Bill Bensley, kiến trúc độc đáo.;"https://cdn.example.com/hotels/s122/img1.jpg;https://cdn.example.com/hotels/s122/img2.jpg";8000000;4.9;"Bãi biển riêng;Nam Trông;Hồ bơi vô cực";
s123;u002;Ha Long Bay Kayaking Half-Day;Tour;209.100;1.072.000;Hạ Long;Bay Area;Chèo Kayak khám phá các hang động nhỏ tại Vịnh Hạ Long.;https://cdn.example.com/tours/s123/1.jpg;450000;4.7;"Kayak;Áo phao;Hướng dẫn";
s124;u003;Phu Quoc Sao Beach Relaxation;Experience;102.241;1.039.575;Phú Quốc;Bai Sao Beach;Thư giãn tại Bãi Sao, bãi biển cát trắng đẹp nhất Phú Quốc.;https://cdn.example.com/exp/s124/1.jpg;50000;4.5;"Ghế nằm;Nước dừa";
s125;u004;Sapa to Fansipan Trekking Day Tour;Tour;223.392;1.038.580;Sapa;Hoang Lien Son;Tour leo núi Fansipan trong ngày (đến độ cao nhất định).;https://cdn.example.com/tours/s125/1.jpg;1500000;4.5;"Hướng dẫn viên;Ăn nhẹ";
s126;u005;HCMC to Mui Ne Private Car;Car;107.500;1.066.667;TP.HCM;District 1;Xe riêng 4 chỗ từ TP.HCM đi Mũi Né.;https://cdn.example.com/cars/s126/1.jpg;1800000;4.6;"Xe đời mới;Tài xế an toàn";
s127;u006;Four Seasons Resort The Nam Hai;Hotel;158.791;1.083.283;Hội An;Dien Ban Town;Resort siêu sang, biệt thự có hồ bơi riêng, nằm giữa Đà Nẵng và Hội An.;"https://cdn.example.com/hotels/s127/img1.jpg;https://cdn.example.com/hotels/s127/img2.jpg";9000000;5.0;"Biệt thự riêng;Yoga trên biển;Spa";
s128;u007;Cuc Phuong National Park Entrance Ticket;Experience;202.500;1.058.500;Ninh Bình;Cuc Phuong Town;Vé vào cửa Vườn Quốc gia Cúc Phương.;https://cdn.example.com/exp/s128/1.jpg;60000;4.5;"Vé vào cửa;Bản đồ";
s129;u008;Nha Trang Luxury Yacht Sunset Cruise;Tour;122.333;1.091.966;Nha Trang;Nha Trang Port;Du thuyền sang trọng ngắm hoàng hôn trên Vịnh Nha Trang.;https://cdn.example.com/tours/s129/1.jpg;1500000;4.8;"Du thuyền;Rượu vang;Canapé";
s130;u009;Tam Coc Bich Dong Tour Full Day;Tour;202.500;1.058.500;Ninh Bình;Ninh Hai Commune;Tour tham quan Tam Cốc, Bích Động và Chùa Bái Đính.;https://cdn.example.com/tours/s130/1.jpg;950000;4.7;"Xe đưa đón từ Hà Nội;Lunch;Thuyền chèo";
s131;u010;Da Lat Night Flower Market;Experience;119.404;1.084.452;Đà Lạt;City Center;Tham quan và mua sắm hoa tươi tại chợ đêm.;https://cdn.example.com/exp/s131/1.jpg;0;4.2;Tự túc;
s132;u001;Mövenpick Resort Waverly Phu Quoc;Hotel;103.500;1.039.000;Phú Quốc;Ong Lang Beach;Resort 5 sao, bãi biển Ông Lang, view hoàng hôn đẹp.;https://cdn.example.com/hotels/s132/img1.jpg;3200000;4.7;"Hồ bơi vô cực;Kid's Club;Bãi biển riêng";
s133;u002;Hoi An Ancient Town Entrance Ticket;Experience;158.791;1.083.283;Hội An;Old Town;Vé tham quan khu phố cổ, 5 điểm di tích.;https://cdn.example.com/exp/s133/1.jpg;120000;4.6;"Vé tham quan;Bản đồ";
s134;u003;Da Nang to Hoi An Shuttle Bus;Car;160.645;1.082.177;Đà Nẵng;Da Nang Airport;Xe bus/Van đưa đón chung từ Đà Nẵng đến Hội An.;https://cdn.example.com/cars/s134/1.jpg;150000;4.3;"Xe shared;Giá rẻ";
s135;u004;Phong Nha Ke Bang National Park Trekking;Tour;176.072;1.062.750;Quảng Bình;Phong Nha Town;Tour trekking khám phá rừng và hang động trong Vườn Quốc gia.;https://cdn.example.com/tours/s135/1.jpg;1200000;4.8;"Giày leo núi;Hướng dẫn viên;Ăn trưa";
s136;u005;The Grand Ho Tram Strip;Hotel;105.500;1.075.000;Bà Rịa-Vũng Tàu;Phuoc Thuan Commune;Khu phức hợp nghỉ dưỡng, casino, sân golf.;https://cdn.example.com/hotels/s136/img1.jpg;2500000;4.6;"Casino;Sân Golf;Bãi biển riêng";
s137;u006;Ho Chi Minh City Reunification Palace Ticket;Experience;107.500;1.066.667;TP.HCM;Nam Ky Khoi Nghia St;Vé vào cửa Dinh Độc Lập.;https://cdn.example.com/exp/s137/1.jpg;40000;4.5;"Vé tham quan;Tài liệu lịch sử";
s138;u007;Can Tho Floating Market Early Morning Tour;Tour;100.333;1.057.892;Cần Thơ;Cai Rang Floating Market;Tour tham quan Chợ nổi Cái Răng vào lúc bình minh.;https://cdn.example.com/tours/s138/1.jpg;250000;4.7;"Thuyền máy;Ăn sáng trên thuyền (Phở/Hủ tiếu)";
s139;u008;Hue Tomb of Tu Duc Entrance Ticket;Experience;164.674;1.075.851;Huế;Thuan An Town;Vé vào cửa Lăng Tự Đức, kiến trúc tuyệt đẹp.;https://cdn.example.com/exp/s139/1.jpg;150000;4.6;"Vé tham quan;Ngắm cảnh";
s140;u009;Da Lat Strawberry Garden Visit;Experience;119.404;1.084.452;Đà Lạt;Mai Anh Dao St;Tham quan và tự tay hái dâu tây tại vườn.;https://cdn.example.com/exp/s140/1.jpg;30000;4.4;"Vé vào cửa;Tự hái (tính tiền theo cân)";
s141;u010;Hanoi Old Quarter Motorbike Rental;Car;210.333;1.058.500;Hà Nội;Old Quarter;Thuê xe máy khám phá các khu vực ngoài trung tâm.;https://cdn.example.com/cars/s141/1.jpg;120000;4.3;"Xe số;Mũ bảo hiểm";
s142;u001;Metropole Hotel Ha Long;Hotel;209.100;1.072.000;Hạ Long;Bai Chay Ward;Khách sạn 4 sao gần khu du lịch Bãi Cháy.;https://cdn.example.com/hotels/s142/img1.jpg;1500000;4.4;"Hồ bơi;Nhà hàng;Vị trí tiện lợi";
s143;u002;Hoi An Fishing Village Tour;Tour;158.791;1.083.283;Hội An;Cua Dai Beach;Trải nghiệm đánh bắt cá cùng ngư dân địa phương.;https://cdn.example.com/tours/s143/1.jpg;550000;4.6;"Thuyền;Dụng cụ câu cá;Bữa ăn nhẹ";
s144;u003;Nha Trang to Da Lat Sleeper Bus;Car;122.333;1.091.966;Nha Trang;Bus Station;Vé xe giường nằm tuyến Nha Trang - Đà Lạt.;https://cdn.example.com/cars/s144/1.jpg;200000;4.2;"Giường nằm;Nước uống";
s145;u004;Phu Quoc Southern Island Boat Trip;Tour;102.241;1.039.575;Phú Quốc;An Thoi Port;Tour cano khám phá 4-5 đảo nhỏ phía Nam.;https://cdn.example.com/tours/s145/1.jpg;800000;4.8;"Cano cao tốc;Lặn ống thở;Lunch";
s146;u005;TP.HCM to Vung Tau Private Car;Car;107.500;1.066.667;TP.HCM;District 1;Xe riêng 4 chỗ từ TP.HCM đi Vũng Tàu.;https://cdn.example.com/cars/s146/1.jpg;1200000;4.5;"Xe đời mới;Nước suối";
s147;u006;Hotel des Arts Saigon - MGallery;Hotel;107.818;1.067.013;TP.HCM;Nguyen Thi Nghia St;Khách sạn boutique 5 sao, phong cách Đông Dương cổ điển.;https://cdn.example.com/hotels/s147/img1.jpg;3500000;4.8;"Rooftop Pool;Sky Bar;Vị trí trung tâm";
s148;u007;Sapa Love Waterfall Entrance Ticket;Experience;223.392;1.038.580;Sapa;Hoang Lien Son;Vé tham quan Thác Tình Yêu.;https://cdn.example.com/exp/s148/1.jpg;70000;4.4;"Vé vào cửa;Ngắm cảnh";
s149;u008;Da Lat Clay Tunnel Park;Experience;119.404;1.084.452;Đà Lạt;Lam Dong Province;Vé vào cổng Đường Hầm Đất Sét (Hồ Vô Cực).;https://cdn.example.com/exp/s149/1.jpg;90000;4.5;"Vé vào cổng;Check-in";
s150;u009;Mui Ne Red and White Sand Dunes Entrance;Experience;109.333;1.082.833;Phan Thiết;Mui Ne;Vé vào khu vực Đồi Cát Trắng và Đỏ.;https://cdn.example.com/exp/s150/1.jpg;15000;4.3;"Vé vào cổng;Ngắm cảnh";
s151;u010;Hanoi Museum of Ethnology Entrance Ticket;Experience;210.333;1.058.500;Hà Nội;Nguyen Van Huyen St;Vé vào Bảo tàng Dân tộc học Việt Nam.;https://cdn.example.com/exp/s151/1.jpg;40000;4.6;"Vé vào cửa;Triển lãm";
s152;u001;Vinpearl Resort & Golf Phu Quoc;Hotel;103.500;1.039.000;Phú Quốc;Bai Dai Beach;Tổ hợp nghỉ dưỡng, sân golf và bãi biển riêng.;https://cdn.example.com/hotels/s152/img1.jpg;4000000;4.7;"Sân Golf;Bãi biển riêng;Hồ bơi";
s153;u002;Nha Trang Private Island Day Trip;Tour;122.333;1.091.966;Nha Trang;Nha Trang Port;Tour cano riêng khám phá Hòn Tằm hoặc Hòn Lao.;https://cdn.example.com/tours/s153/1.jpg;3000000;4.9;"Cano riêng;Lặn biển;Lunch cao cấp";
s154;u003;Da Nang to Ba Na Hills Private Car;Car;160.645;1.082.177;Đà Nẵng;City Center;Xe riêng 4 chỗ khứ hồi đi Bà Nà Hills.;https://cdn.example.com/cars/s154/1.jpg;700000;4.6;"Xe 4 chỗ;Chờ đợi";
s155;u004;Phong Nha Dark Cave Zipline Tour;Tour;176.072;1.062.750;Quảng Bình;Phong Nha Town;Trải nghiệm đu dây (Zipline) và tắm bùn trong Hang Tối.;https://cdn.example.com/tours/s155/1.jpg;450000;4.8;"Zipline;Tắm bùn;Kayak";
s156;u005;HCMC to Dalat Sleeper Bus;Car;107.500;1.066.667;TP.HCM;Bus Station;Vé xe giường nằm tuyến TP.HCM - Đà Lạt.;https://cdn.example.com/cars/s156/1.jpg;350000;4.3;"Giường nằm;Wifi trên xe";
s157;u006;Hyatt Regency Danang Resort and Spa;Hotel;160.350;1.082.320;Đà Nẵng;Truong Sa St;Resort 5 sao ven biển, phù hợp gia đình.;https://cdn.example.com/hotels/s157/img1.jpg;3800000;4.7;"5 hồ bơi;Kid's Club;Bãi biển riêng";
s158;u007;Hoi An Cooking Class & Market Tour;Experience;158.791;1.083.283;Hội An;Old Town;Tham quan chợ, học nấu ăn tại nhà địa phương.;https://cdn.example.com/exp/s158/1.jpg;500000;4.8;"Chợ;Nguyên liệu;Thử món ăn";
s159;u008;Sapa Muong Hoa Valley Trekking;Tour;223.392;1.038.580;Sapa;Muong Hoa Valley;Tour đi bộ xuyên thung lũng Mường Hoa, thăm các bản làng.;https://cdn.example.com/tours/s159/1.jpg;800000;4.6;"Hướng dẫn viên;Lunch dã ngoại";
s160;u009;Vung Tau Lighthouse Entrance Ticket;Experience;103.450;1.070.830;Vũng Tàu;Nui Nho;Vé tham quan Hải đăng Vũng Tàu.;https://cdn.example.com/exp/s160/1.jpg;0;4.4;"Ngắm cảnh;Check-in";
s161;u010;Can Tho to HCMC Private Car;Car;100.333;1.057.892;Cần Thơ;City Center;Xe riêng 4 chỗ từ Cần Thơ về TP.HCM.;https://cdn.example.com/cars/s161/1.jpg;1600000;4.5;"Xe đời mới;Tài xế";
s162;u001;Ha Long to Cat Ba Ferry Ticket;Car;209.100;1.072.000;Hạ Long;Tuan Chau Port;Vé phà cao tốc từ Tuần Châu (Hạ Long) đi Cát Bà.;https://cdn.example.com/cars/s162/1.jpg;150000;4.3;"Vé phà;Nhanh chóng";
s163;u002;The Scarlett Boutique Hotel Hue;Hotel;164.674;1.075.851;Huế;Chu Van An St;Khách sạn boutique 3 sao, vị trí trung tâm, giá phải chăng.;https://cdn.example.com/hotels/s163/img1.jpg;700000;4.4;"Wifi;Ăn sáng;Gần phố đi bộ";
s164;u003;Nha Trang Cooking Class (Seafood Focus);Experience;122.333;1.091.966;Nha Trang;City Center;Lớp học nấu ăn tập trung vào hải sản Nha Trang.;https://cdn.example.com/exp/s164/1.jpg;600000;4.7;"Hải sản tươi;Công thức";
s165;u004;Phu Quoc Hon Thom Cable Car Ticket;Tour;100.500;1.040.000;Phú Quốc;An Thoi Port;Vé cáp treo 3 dây dài nhất thế giới đi Hòn Thơm.;https://cdn.example.com/tours/s165/1.jpg;400000;4.8;"Vé cáp treo;Ngắm cảnh";
s166;u005;Hoi An Photo Shoot Session;Experience;158.791;1.083.283;Hội An;Old Town;Dịch vụ chụp ảnh cá nhân hoặc nhóm tại phố cổ.;https://cdn.example.com/exp/s166/1.jpg;1500000;4.9;"Nhiếp ảnh gia;Ảnh đã chỉnh sửa (20 tấm)";
s167;u006;Caravelle Saigon Hotel;Hotel;107.818;1.067.013;TP.HCM;Lam Son Square;Khách sạn 5 sao lịch sử, vị trí đối diện Nhà Hát Thành Phố.;https://cdn.example.com/hotels/s167/img1.jpg;4000000;4.7;"Sky Bar;Hồ bơi ngoài trời;Casino";
s168;u007;Da Lat Linh Phuoc Pagoda Tour;Tour;119.404;1.084.452;Đà Lạt;Trai Mat Ward;Tham quan Chùa Linh Phước (Chùa Ve Chai) với kiến trúc độc đáo.;https://cdn.example.com/tours/s168/1.jpg;200000;4.5;"Xe đưa đón;Hướng dẫn viên";
s169;u008;Hanoi Train Street Photo Spot;Experience;210.333;1.058.500;Hà Nội;Phung Hung St;Trải nghiệm chụp ảnh tại Phố đường tàu (tùy thời điểm).;https://cdn.example.com/exp/s169/1.jpg;50000;4.1;"Đồ uống;Check-in";
s170;u009;Mui Ne Fairy Stream Entrance;Experience;109.333;1.082.833;Phan Thiết;Huynh Thuc Khang St;Vé vào cửa Suối Tiên (Fairy Stream).;https://cdn.example.com/exp/s170/1.jpg;15000;4.2;"Vé vào cửa;Khám phá";
s171;u010;Hue Private Tour to Thanh Toan Bridge;Tour;164.674;1.075.851;Huế;Thuy Thanh Village;Tour tham quan Cầu Ngói Thanh Toàn và khu vực làng quê.;https://cdn.example.com/tours/s171/1.jpg;600000;4.6;"Xe riêng;Hướng dẫn;Tìm hiểu văn hóa";
s172;u001;The Oriental Hotel Da Nang;Hotel;160.645;1.082.177;Đà Nẵng;Bach Dang St;Khách sạn 4 sao ven sông Hàn, view Cầu Rồng.;https://cdn.example.com/hotels/s172/img1.jpg;1400000;4.5;"View sông Hàn;Hồ bơi;Nhà hàng";
s173;u002;Ha Long Bay Squid Fishing Night Tour;Tour;209.100;1.072.000;Hạ Long;Tuan Chau Harbour;Trải nghiệm câu mực đêm trên Vịnh Hạ Long.;https://cdn.example.com/tours/s173/1.jpg;700000;4.4;"Tàu;Dụng cụ câu;Ăn mực";
s174;u003;Phu Quoc Safari Entrance Ticket;Experience;103.500;1.039.000;Phú Quốc;Ganh Dau Commune;Vé vào cổng Vinpearl Safari.;https://cdn.example.com/exp/s174/1.jpg;650000;4.6;"Vé vào cửa;Xem show";
s175;u004;Sapa to Hanoi Sleeper Train Ticket;Car;223.392;1.038.580;Sapa;Lao Cai Station;Vé tàu giường nằm tuyến Lào Cai - Hà Nội.;https://cdn.example.com/cars/s175/1.jpg;550000;4.5;"Cabin 4 giường;Nước uống";
s176;u005;HCMC Ao Dai Museum Entrance Ticket;Experience;107.500;1.066.667;TP.HCM;District 9;Vé tham quan Bảo tàng Áo Dài.;https://cdn.example.com/exp/s176/1.jpg;100000;4.4;"Vé vào cửa;Trang phục";
s177;u006;Premier Village Danang Resort;Hotel;160.350;1.082.320;Đà Nẵng;Vo Nguyen Giap St;Resort biệt thự 5 sao, hồ bơi và bếp riêng.;https://cdn.example.com/hotels/s177/img1.jpg;6000000;4.8;"Biệt thự;Hồ bơi riêng;Bếp";
s178;u007;Can Tho Local Home Cooking Class;Experience;100.333;1.057.892;Cần Thơ;Cai Rang Dist;Học nấu các món ăn miền Tây tại nhà dân địa phương.;https://cdn.example.com/exp/s178/1.jpg;450000;4.7;"Nguyên liệu;Công thức;Trải nghiệm";
s179;u008;Ninh Binh Thung Nham Bird Garden Tour;Tour;202.500;1.058.500;Ninh Bình;Hoa Lu District;Tour tham quan Vườn Chim Thung Nham, ngắm chim bay về tổ.;https://cdn.example.com/tours/s179/1.jpg;150000;4.6;"Vé vào cổng;Thuyền";
s180;u009;Vung Tau Jesus Christ Statue Entrance;Experience;103.450;1.070.830;Vũng Tàu;Nui Nho;Vé tham quan Tượng Chúa Kitô Vua trên núi Nhỏ.;https://cdn.example.com/exp/s180/1.jpg;0;4.5;"Ngắm cảnh;Tâm linh";
s181;u010;Da Lat Old Railway Station Visit;Experience;119.404;1.084.452;Đà Lạt;Nguyen Trai St;Vé tham quan Ga Đà Lạt cổ.;https://cdn.example.com/exp/s181/1.jpg;10000;4.4;"Vé vào cổng;Check-in";
s182;u001;The Lapis Hotel Hanoi;Hotel;210.285;1.058.548;Hà Nội;Tran Hung Dao St;Khách sạn 4 sao, thiết kế hiện đại, gần Ga Hà Nội.;https://cdn.example.com/hotels/s182/img1.jpg;1100000;4.3;"Hồ bơi;Nhà hàng;Dịch vụ phòng";
s183;u002;Hoi An Marble Mountain Day Trip;Tour;158.791;1.083.283;Hội An;Old Town;Tour từ Hội An đi Ngũ Hành Sơn và làng đá Non Nước.;https://cdn.example.com/tours/s183/1.jpg;400000;4.5;"Xe bus;Hướng dẫn viên;Vé tham quan";
s184;u003;Nha Trang Private Snorkeling Trip (Premium);Tour;122.333;1.091.966;Nha Trang;Hon Mun Marine Park;Tour lặn ống thở riêng tại các điểm đẹp nhất Hòn Mun.;https://cdn.example.com/tours/s184/1.jpg;2000000;4.9;"Cano riêng;Thiết bị lặn cao cấp;Nước suối";
s185;u004;Phu Quoc Grand World Water Puppet Show;Experience;103.500;1.039.000;Phú Quốc;Grand World;Vé xem show múa rối nước tại Grand World.;https://cdn.example.com/exp/s185/1.jpg;150000;4.5;"Vé xem show;Vị trí đẹp";
s186;u005;HCMC to Dalat Private Car;Car;107.500;1.066.667;TP.HCM;District 1;Xe riêng 7 chỗ từ TP.HCM đi Đà Lạt.;https://cdn.example.com/cars/s186/1.jpg;3500000;4.7;"Xe đời mới;Tài xế;Nước suối";
s187;u006;The Anam Cam Ranh;Hotel;119.404;1.084.452;Nha Trang;Cam Ranh Beach;Resort 5 sao, kiến trúc Indochine cổ điển, biệt lập.;https://cdn.example.com/hotels/s187/img1.jpg;4500000;4.8;"Bãi biển riêng;Rạp chiếu phim 3D;Spa";
s188;u007;Sapa Bac Ha Sunday Market Tour;Tour;225.667;1.042.833;Sapa;Bac Ha Town;Tour tham quan chợ phiên Bắc Hà vào Chủ Nhật.;https://cdn.example.com/tours/s188/1.jpg;900000;4.7;"Xe đưa đón;Hướng dẫn;Tham quan chợ";
s189;u008;Ninh Binh Trang An Grottoes Tour;Tour;202.500;1.058.500;Ninh Bình;Trang An;Chèo thuyền tham quan Quần thể danh thắng Tràng An.;https://cdn.example.com/tours/s189/1.jpg;250000;4.8;"Thuyền chèo tay;Vé tham quan";
s190;u009;Phan Thiet Ke Ga Lighthouse Tour;Tour;107.333;1.079.833;Phan Thiết;Ke Ga Cape;Tour tham quan Hải đăng Kê Gà, điểm cực Nam của Phan Thiết.;https://cdn.example.com/tours/s190/1.jpg;400000;4.5;"Thuyền/Cano;Vé tham quan";
s191;u010;Hue Private Car to Da Nang;Car;164.674;1.075.851;Huế;City Center;Xe riêng 4 chỗ từ Huế đi Đà Nẵng, qua Đèo Hải Vân.;https://cdn.example.com/cars/s191/1.jpg;1400000;4.7;"Xe 4 chỗ;Ngắm cảnh";
s192;u001;The Oriental Pearl Cruise Ha Long;Tour;209.100;1.072.000;Hạ Long;Tuan Chau Harbour;Du thuyền 5 sao, hải trình 2 ngày 1 đêm trên Vịnh.;https://cdn.example.com/tours/s192/1.jpg;4500000;4.9;"Cabin sang trọng;Buffet;Thái Cực Quyền";
s193;u002;Hanoi to Sapa Sleeper Bus;Car;210.333;1.058.500;Hà Nội;My Dinh Bus Station;Vé xe giường nằm tuyến Hà Nội - Sapa.;https://cdn.example.com/cars/s193/1.jpg;400000;4.4;"Giường nằm;Nước suối";
s194;u003;Da Nang to My Son Sanctuary Day Trip;Tour;160.645;1.082.177;Đà Nẵng;City Center;Tour tham quan Thánh địa Mỹ Sơn (Di sản UNESCO).;https://cdn.example.com/tours/s194/1.jpg;600000;4.6;"Xe bus;Hướng dẫn viên;Vé tham quan";
s195;u004;Phu Quoc Pearl Farm Visit;Experience;102.241;1.039.575;Phú Quốc;Duong To Commune;Tham quan và mua sắm ngọc trai tại trại nuôi cấy.;https://cdn.example.com/exp/s195/1.jpg;0;4.3;"Tham quan miễn phí;Mua sắm";
s196;u005;HCMC Private Car to Can Tho;Car;107.500;1.066.667;TP.HCM;District 1;Xe riêng 4 chỗ từ TP.HCM đi Cần Thơ.;https://cdn.example.com/cars/s196/1.jpg;1600000;4.5;"Xe đời mới;Tài xế";
s197;u006;The Shoreline Hotel Danang;Hotel;160.645;1.082.177;Đà Nẵng;Pham Van Dong St;Khách sạn 3 sao, đối diện bãi biển Mỹ Khê.;https://cdn.example.com/hotels/s197/img1.jpg;900000;4.3;"View biển;Ăn sáng";
s198;u007;Da Lat Pongour Waterfall Entrance;Experience;118.900;1.084.000;Đà Lạt;Duc Trong Dist;Vé vào cổng Thác Pongour (Nam Thiên Đệ Nhất Thác).;https://cdn.example.com/exp/s198/1.jpg;20000;4.5;"Vé vào cổng;Ngắm cảnh";
s199;u008;Hoi An Phuc Kien Assembly Hall Ticket;Experience;158.791;1.083.283;Hội An;Tran Phu St;Vé tham quan Hội Quán Phúc Kiến.;https://cdn.example.com/exp/s199/1.jpg;35000;4.4;"Vé tham quan;Kiến trúc";
s200;u009;Mui Ne Local Fish Market Tour;Experience;109.333;1.082.833;Phan Thiết;Fishing Harbor;Tham quan chợ cá buổi sáng sớm, mua hải sản.;https://cdn.example.com/exp/s200/1.jpg;0;4.5;"Khám phá văn hóa;Chụp ảnh";
