itineraryId;userId;destination;travelProfile;schedule;isSaved;createdAt
i011;u043;TP.HCM;"{""people"":2,""budget"":""Trung bình"",""interests"":[""nightlife"",""cafe""]}";"[{""day"":1,""title"":""Cafe và Phố Tây"",""activities"":[""Cafe căn hộ chung cư"",""Phố đi bộ Nguyễn Huệ"",""Ăn tối Phố Tây Bùi Viện""]},{""day"":2,""title"":""Bar/Pub Quận 1"",""activities"":[""Thăm Chợ Bến Thành"",""Đi Pub""]}]";FALSE;2025-08-16T13:47:39Z
i012;u047;Côn Đảo;"{""people"":1,""budget"":""Trung bình"",""interests"":[""warhistory"",""museum""]}";"[{""day"":1,""title"":""Di tích Lịch sử"",""activities"":[""Tham quan Nhà tù Côn Đảo"",""Bảo tàng Côn Đảo""]},{""day"":2,""title"":""Tâm linh và Biển"",""activities"":[""Viếng mộ Cô Sáu"",""Tắm biển Đầm Trầu""]}]";TRUE;2025-09-06T18:42:01Z
i013;u051;Huế;"{""people"":1,""budget"":""Thấp"",""interests"":[""food"",""local""]}";"[{""day"":1,""title"":""Ẩm thực đường phố"",""activities"":[""Bánh bèo, nậm, lọc"",""Bún bò Huế"",""Chè Hẻm""]},{""day"":2,""title"":""Ăn uống chợ Đông Ba"",""activities"":[""Chợ Đông Ba"",""Cafe ven sông Hương""]}]";TRUE;2025-09-26T15:40:08Z
i014;u055;Mũi Né;"{""people"":3,""budget"":""Cao"",""interests"":[""watersport"",""adventure""]}";"[{""day"":1,""title"":""Lướt sóng"",""activities"":[""Học Kitesurfing"",""Ăn hải sản""]},{""day"":2,""title"":""Đồi Cát và Jeep"",""activities"":[""Tour Jeep ngắm bình minh"",""Thuê ATV trượt cát""]}]";TRUE;2025-10-16T13:44:17Z
i015;u059;Sapa;"{""people"":1,""budget"":""Thấp"",""interests"":[""solo"",""backpacking""]}";"[{""day"":1,""title"":""Khám phá Sapa Town"",""activities"":[""Thuê xe máy"",""Núi Hàm Rồng"",""Chợ đêm Sapa""]},{""day"":2,""title"":""Trekking cơ bản"",""activities"":[""Bản Cát Cát"",""Thác Bạc""]}]";TRUE;2025-11-06T10:23:23Z
i016;u063;Hà Nội;"{""people"":2,""budget"":""Cao"",""interests"":[""food"",""finedining""]}";"[{""day"":1,""title"":""Ẩm thực cao cấp"",""activities"":[""Nhà hàng Pháp (Phố Cổ)"",""Thưởng thức cocktail""]},{""day"":2,""title"":""Phở và Bún chả"",""activities"":[""Phở Bát Đàn"",""Bún Chả Hương Liên (Obama)""]}]";TRUE;2025-11-26T08:25:32Z
i017;u067;Tây Bắc;"{""people"":1,""budget"":""Trung bình"",""interests"":[""motorbike"",""phuot""]}";"[{""day"":1,""title"":""Hành trình Tây Bắc"",""activities"":[""Lên Sapa"",""Check-in các điểm ven đường""]},{""day"":2,""title"":""Đèo Ô Quy Hồ"",""activities"":[""Đèo Ô Quy Hồ"",""Thăm bản Tả Van""]}]";TRUE;2025-12-16T07:26:40Z
i018;u071;TP.HCM;"{""people"":2,""budget"":""Cao"",""interests"":[""history"",""colonial""]}";"[{""day"":1,""title"":""Di sản Pháp"",""activities"":[""Nhà thờ Đức Bà"",""Bưu điện Trung tâm"",""Dinh Độc Lập""]},{""day"":2,""title"":""Lịch sử Chiến tranh"",""activities"":[""Bảo tàng Chứng tích Chiến tranh"",""Địa đạo Củ Chi""]}]";TRUE;2026-01-06T06:28:48Z
i019;u075;Phú Quốc;"{""people"":4,""budget"":""Thấp"",""interests"":[""group"",""cheap""]}";"[{""day"":1,""title"":""Khám phá tự túc"",""activities"":[""Thuê xe máy chung"",""Thăm Bãi Sao"",""Ăn hải sản chợ đêm""]},{""day"":2,""title"":""Nam Đảo"",""activities"":[""Câu mực đêm (share tour)"",""Lặn ống thở""]}]";TRUE;2026-01-26T07:30:56Z
i020;u079;Đà Lạt;"{""people"":1,""budget"":""Thấp"",""interests"":[""backpacking"",""flexi""]}";"[{""day"":1,""title"":""Tự do Đà Lạt"",""activities"":[""Thuê xe máy"",""Lang thang hồ Xuân Hương"",""Chợ đêm Đà Lạt""]},{""day"":2,""title"":""Đồi chè và Vườn hoa"",""activities"":[""Đồi chè Cầu Đất"",""Vườn hoa Thành phố""]}]";TRUE;2026-02-15T06:32:04Z
i021;u083;Huế;"{""people"":2,""budget"":""Trung bình"",""interests"":[""traditionalfood"",""local""]}";"[{""day"":1,""title"":""Bún bò và Bánh"",""activities"":[""Bún bò Huế Mụ Rớt"",""Bánh bèo, nậm, lọc"",""Cà phê""]},{""day"":2,""title"":""Chợ và ăn uống"",""activities"":[""Chợ Đông Ba"",""Ăn cơm hến""]}]";TRUE;2026-03-07T22:33:12Z
i022;u087;Hà Nội;"{""people"":2,""budget"":""Cao"",""interests"":[""music"",""theatre"",""art""]}";"[{""day"":1,""title"":""Nhà Hát Lớn"",""activities"":[""Check-in Nhà Hát Lớn"",""Thưởng thức hòa nhạc""]},{""day"":2,""title"":""Nghệ thuật và Lịch sử"",""activities"":[""Bảo tàng Mỹ thuật"",""Phố sách""]}]";TRUE;2026-03-27T19:34:20Z
i023;u091;TP.HCM;"{""people"":1,""budget"":""Trung bình"",""interests"":[""streetphotography"",""city""]}";"[{""day"":1,""title"":""Đường phố Sài Gòn"",""activities"":[""Dạo phố Q.1, Q.3"",""Chụp ảnh đời sống"",""Uống cafe bệt""]},{""day"":2,""title"":""Chợ Lớn và Quận 5"",""activities"":[""Chợ Bình Tây"",""Chụp ảnh kiến trúc người Hoa""]}]";TRUE;2026-04-16T16:35:28Z
i024;u095;Huế;"{""people"":2,""budget"":""Trung bình"",""interests"":[""royaltomb"",""history""]}";"[{""day"":1,""title"":""Lăng Khải Định"",""activities"":[""Tham quan Lăng Khải Định"",""Lăng Tự Đức""]},{""day"":2,""title"":""Đại Nội và Chùa"",""activities"":[""Đại Nội"",""Chùa Thiên Mụ""]}]";TRUE;2026-05-06T15:35:36Z
i025;u099;Đà Nẵng;"{""people"":1,""budget"":""Thấp"",""interests"":[""volunteer"",""local""]}";"[{""day"":1,""title"":""Hoạt động cộng đồng"",""activities"":[""Tham gia hoạt động tình nguyện"",""Ăn uống địa phương""]},{""day"":2,""title"":""Khám phá bằng xe đạp"",""activities"":[""Đạp xe ven biển"",""Thăm làng nghề""]}]";TRUE;2026-05-26T14:36:44Z
i026;u103;Đà Lạt;"{""people"":1,""budget"":""Trung bình"",""interests"":[""digitalnomad"",""cafe"",""view""]}";"[{""day"":1,""title"":""Cafe làm việc"",""activities"":[""Tìm cafe view đẹp, wifi ổn"",""Làm việc buổi sáng"",""Dạo phố""]},{""day"":2,""title"":""Săn view"",""activities"":[""Đồi chè Cầu Đất"",""Cafe Sân Mây""]}]";TRUE;2026-06-16T15:37:52Z
i027;u107;Hà Nội;"{""people"":1,""budget"":""Trung bình"",""interests"":[""warhistory"",""museum""]}";"[{""day"":1,""title"":""Lịch sử Chiến tranh"",""activities"":[""Bảo tàng Lịch sử Quân sự"",""Nhà tù Hỏa Lò""]},{""day"":2,""title"":""Lăng Bác và Văn Miếu"",""activities"":[""Tham quan Lăng Bác"",""Văn Miếu Quốc Tử Giám""]}]";TRUE;2026-07-06T14:39:00Z
i028;u111;Hội An;"{""people"":2,""budget"":""Trung bình"",""interests"":[""cham"",""architecture""]}";"[{""day"":1,""title"":""Kiến trúc cổ Hội An"",""activities"":[""Phố cổ"",""Chùa Cầu"",""Tham quan Nhà cổ""]},{""day"":2,""title"":""Thánh địa Mỹ Sơn"",""activities"":[""Tour Mỹ Sơn"",""Khám phá kiến trúc Chăm""]}]";TRUE;2026-07-26T11:40:08Z
i029;u115;Đà Nẵng;"{""people"":4,""budget"":""Cao"",""interests"":[""family"",""golf""]}";"[{""day"":1,""title"":""Nghỉ dưỡng & Golf"",""activities"":[""Check-in resort cao cấp"",""Chơi golf (chiều)""]},{""day"":2,""title"":""Giải trí"",""activities"":[""Tắm biển"",""Hồ bơi vô cực"",""Dịch vụ spa""]}]";TRUE;2026-08-16T10:41:16Z
i030;u119;Mộc Châu;"{""people"":1,""budget"":""Trung bình"",""interests"":[""nature"",""conservation""]}";"[{""day"":1,""title"":""Đồi chè và Rừng"",""activities"":[""Đồi chè Mộc Châu"",""Rừng thông Bản Áng""]},{""day"":2,""title"":""Thác Dải Yếm"",""activities"":[""Thác Dải Yếm"",""Thăm bản làng""]}]";TRUE;2026-09-01T23:27:07Z
i031;u123;Đà Lạt;"{""people"":2,""budget"":""Trung bình"",""interests"":[""wellness"",""yoga""]}";"[{""day"":1,""title"":""Yoga và Thiền"",""activities"":[""Check-in trung tâm wellness"",""Lớp Yoga"",""Thiền định""]},{""day"":2,""title"":""Khám phá yên tĩnh"",""activities"":[""Hồ Tuyền Lâm"",""Thiền Viện Trúc Lâm""]}]";TRUE;2026-09-26T06:43:32Z
i032;u127;Hà Nội;"{""people"":1,""budget"":""Trung bình"",""interests"":[""solo"",""walking"",""history""]}";"[{""day"":1,""title"":""Đi bộ Phố Cổ"",""activities"":[""Đi bộ 36 phố phường"",""Ăn bún chả"",""Uống cà phê trứng""]},{""day"":2,""title"":""Lịch sử & Văn hóa"",""activities"":[""Nhà tù Hỏa Lò"",""Bảo tàng Lịch sử""]}]";TRUE;2026-10-16T23:44:40Z
i033;u131;TP.HCM;"{""people"":3,""budget"":""Cao"",""interests"":[""privatecar"",""limousine""]}";"[{""day"":1,""title"":""Xe VIP đi Củ Chi"",""activities"":[""Thuê Limousine đi Củ Chi"",""Tham quan Địa đạo""]},{""day"":2,""title"":""Xe VIP đi Vũng Tàu"",""activities"":[""Xe Limousine đi Vũng Tàu"",""Tắm biển Bãi Sau""]}]";TRUE;2026-11-05T20:46:48Z
i034;u135;Hà Nội;"{""people"":1,""budget"":""Thấp"",""interests"":[""coupon"",""cheap""]}";"[{""day"":1,""title"":""Săn deal"",""activities"":[""Tìm kiếm voucher ăn uống"",""Hostel giá rẻ Phố Cổ""]},{""day"":2,""title"":""Tour free"",""activities"":[""Tham quan Hồ Gươm (free)"",""Chợ đêm (free)""]}]";TRUE;2026-11-25T19:47:56Z
i035;u139;Quảng Bình;"{""people"":2,""budget"":""Trung bình"",""interests"":[""cave"",""geology""]}";"[{""day"":1,""title"":""Động Phong Nha"",""activities"":[""Tour tham quan Động Phong Nha"",""Khám phá hang động""]},{""day"":2,""title"":""Hang Tối"",""activities"":[""Zipline Hang Tối"",""Tắm bùn""]}]";TRUE;2026-12-15T16:49:04Z
i036;u143;Nha Trang;"{""people"":4,""budget"":""Trung bình"",""interests"":[""family"",""amusement"",""kids""]}";"[{""day"":1,""title"":""VinWonders"",""activities"":[""Chơi cả ngày VinWonders"",""Cáp treo""]},{""day"":2,""title"":""Biển và Bùn"",""activities"":[""Tắm biển Nha Trang"",""Tắm bùn I-Resort""]}]";TRUE;2027-01-04T15:50:12Z
i037;u147;Đà Lạt;"{""people"":2,""budget"":""Trung bình"",""interests"":[""car"",""roadtrip""]}";"[{""day"":1,""title"":""Thuê xe tự lái"",""activities"":[""Thuê xe 4 chỗ"",""Khám phá Hồ Tuyền Lâm"",""Chợ đêm Đà Lạt""]},{""day"":2,""title"":""Đèo và Vườn"",""activities"":[""Phượt đèo Prenn"",""Vườn hoa""]}]";TRUE;2027-01-24T14:51:20Z
i038;u151;Đà Nẵng;"{""people"":1,""budget"":""Cao"",""interests"":[""golf"",""resort""]}";"[{""day"":1,""title"":""Golf và Nghỉ dưỡng"",""activities"":[""Chơi golf"",""Check-in resort"",""Spa""]},{""day"":2,""title"":""Hội An"",""activities"":[""Tham quan Phố cổ Hội An""]}]";TRUE;2027-02-13T11:52:28Z
i039;u155;Sapa;"{""people"":2,""budget"":""Trung bình"",""interests"":[""homestay"",""dao""]}";"[{""day"":1,""title"":""Bản Tả Phìn"",""activities"":[""Check-in Homestay"",""Tắm lá thuốc người Dao"",""Ăn tối địa phương""]},{""day"":2,""title"":""Trekking"",""activities"":[""Trekking nhẹ Tả Phìn"",""Thăm hang Tả Phìn""]}]";TRUE;2027-03-05T10:53:36Z
i040;u159;Phú Quốc;"{""people"":2,""budget"":""Cao"",""interests"":[""private"",""secluded""]}";"[{""day"":1,""title"":""Nghỉ dưỡng riêng tư"",""activities"":[""Check-in resort biệt lập"",""Bãi biển riêng"",""Dịch vụ phòng""]},{""day"":2,""title"":""Lặn biển riêng"",""activities"":[""Thuê cano riêng"",""Lặn biển (premium)""}]}]";TRUE;2027-03-26T07:54:44Z
i041;u163;TP.HCM;"{""people"":2,""budget"":""Trung bình"",""interests"":[""cityview"",""shopping""]}";"[{""day"":1,""title"":""City View"",""activities"":[""Check-in khách sạn view đẹp"",""Lên Skydeck Bitexco""]},{""day"":2,""title"":""Mua sắm"",""activities"":[""Chợ Bến Thành"",""Trung tâm thương mại Q.1""]}]";FALSE;2027-04-15T11:11:09Z
i042;u167;Đà Nẵng;"{""people"":4,""budget"":""Cao"",""interests"":[""villa"",""privatepool""]}";"[{""day"":1,""title"":""Villa và Hồ bơi"",""activities"":[""Check-in villa có hồ bơi riêng"",""BBQ tại villa""]},{""day"":2,""title"":""Tắm biển"",""activities"":[""Tắm biển Mỹ Khê"",""Ăn hải sản ven biển""]}]";TRUE;2027-05-05T07:57:00Z
i043;u171;Hà Giang;"{""people"":1,""budget"":""Trung bình"",""interests"":[""trekking"",""adventure""]}";"[{""day"":1,""title"":""Trekking Đồng Văn"",""activities"":[""Trekking Tà Làng"",""Ngủ Homestay""]},{""day"":2,""title"":""Phiên chợ và đèo"",""activities"":[""Chợ phiên Đồng Văn"",""Phượt đèo""]}]";TRUE;2027-07-29T06:58:08Z
i044;u175;Cần Thơ;"{""people"":2,""budget"":""Thấp"",""interests"":[""homestay"",""localfood""]}";"[{""day"":1,""title"":""Sông nước"",""activities"":[""Check-in homestay ven sông"",""Ăn tối địa phương""]},{""day"":2,""title"":""Cái Răng và Chợ"",""activities"":[""Chợ nổi Cái Răng"",""Thăm vườn""]}]";TRUE;2027-08-18T23:59:16Z
i045;u179;Mộc Châu;"{""people"":2,""budget"":""Cao"",""interests"":[""ecotherapy"",""wellness""]}";"[{""day"":1,""title"":""Rừng và Spa"",""activities"":[""Check-in resort sinh thái"",""Liệu pháp trị liệu""]},{""day"":2,""title"":""Cây và Hoa"",""activities"":[""Vườn hoa"",""Đồi chè"",""Thiền""]}]";TRUE;2027-09-07T20:00:24Z
i046;u183;Ninh Bình;"{""people"":1,""budget"":""Thấp"",""interests"":[""bicycle"",""countryside""]}";"[{""day"":1,""title"":""Đạp xe Tam Cốc"",""activities"":[""Thuê xe đạp"",""Đạp xe cánh đồng lúa"",""Chèo thuyền Tam Cốc""]},{""day"":2,""title"":""Yên tĩnh"",""activities"":[""Bích Động"",""Chùa Bái Đính""]}]";TRUE;2027-09-27T18:01:32Z
i047;u187;Hội An;"{""people"":4,""budget"":""Thấp"",""interests"":[""communitytour"",""local""]}";"[{""day"":1,""title"":""Tour cộng đồng"",""activities"":[""Tham gia tour khám phá làng nghề"",""Ăn uống địa phương""]},{""day"":2,""title"":""Khám phá tự túc"",""activities"":[""Đi bộ phố cổ"",""Chụp ảnh đèn lồng""]}]";TRUE;2027-10-17T16:02:40Z
i048;u191;Hạ Long;"{""people"":2,""budget"":""Cao"",""interests"":[""luxurycruise"",""5star""]}";"[{""day"":1,""title"":""Du thuyền 5 sao"",""activities"":[""Check-in du thuyền cao cấp"",""Buffet tối"",""Jacuzzi""]},{""day"":2,""title"":""Vịnh Lan Hạ"",""activities"":[""Chèo kayak"",""Thăm hang"",""Ngắm bình minh""]}]";TRUE;2027-11-06T15:03:48Z
i049;u195;Đà Nẵng;"{""people"":4,""budget"":""Trung bình"",""interests"":[""family"",""sport""]}";"[{""day"":1,""title"":""Thể thao biển"",""activities"":[""Tắm biển"",""Chơi các môn thể thao bãi biển"",""Nhà hàng hải sản""]},{""day"":2,""title"":""Resort và hồ bơi"",""activities"":[""Bơi lội ở resort"",""Phòng gym""]}]";TRUE;2027-11-26T14:04:56Z
i050;u199;Sapa;"{""people"":2,""budget"":""Trung bình"",""interests"":[""highlandsfood"",""ethnic""]}";"[{""day"":1,""title"":""Ẩm thực Sapa"",""activities"":[""Thử Thắng Cố"",""Lẩu cá hồi"",""Chợ đêm""]},{""day"":2,""title"":""Bản Cát Cát"",""activities"":[""Trekking bản Cát Cát"",""Ăn đồ nướng""]}]";TRUE;2027-12-16T12:06:04Z
i051;u001;Mũi Né;"{""people"":2,""budget"":""Trung bình"",""interests"":[""beach"",""food""]}";"[{""day"":1,""title"":""Hải sản và Biển"",""activities"":[""Tắm biển"",""Ăn hải sản Xóm Lưới"",""Suối Tiên""]},{""day"":2,""title"":""Đồi Cát"",""activities"":[""Tour Jeep ngắm bình minh"",""Trượt cát""]}]";TRUE;2025-03-10T14:00:00Z
i052;u005;Hà Nội;"{""people"":1,""budget"":""Cao"",""interests"":[""adventure"",""history""]}";"[{""day"":1,""title"":""Lịch sử và Ẩm thực"",""activities"":[""Bảo tàng Hỏa Lò"",""Tour ẩm thực Phố Cổ""]},{""day"":2,""title"":""Phượt ngoại thành"",""activities"":[""Thuê xe máy đi Sóc Sơn"",""Cắm trại""]}]";TRUE;2025-02-28T10:00:00Z
i053;u009;Đà Lạt;"{""people"":3,""budget"":""Thấp"",""interests"":[""food"",""local""]}";"[{""day"":1,""title"":""Chợ đêm Đà Lạt"",""activities"":[""Bánh tráng nướng"",""Sữa đậu nành"",""Cafe""]},{""day"":2,""title"":""Ăn uống địa phương"",""activities"":[""Bánh mì xíu mại"",""Kem bơ""]}]";TRUE;2025-04-10T16:00:00Z
i054;u013;Côn Đảo;"{""people"":1,""budget"":""Trung bình"",""interests"":[""photography"",""nature""]}";"[{""day"":1,""title"":""Thiên nhiên"",""activities"":[""Bãi Đầm Trầu"",""Chụp ảnh hoàng hôn""]},{""day"":2,""title"":""Lịch sử"",""activities"":[""Nhà tù Côn Đảo"",""Viếng mộ Cô Sáu""]}]";TRUE;2025-04-01T10:00:00Z
i055;u017;Hội An;"{""people"":2,""budget"":""Cao"",""interests"":[""relax"",""spa""]}";"[{""day"":1,""title"":""Resort ven biển"",""activities"":[""Check-in resort 5 sao"",""Spa thư giãn""]},{""day"":2,""title"":""Phố cổ buổi tối"",""activities"":[""Thả đèn hoa đăng"",""Ăn tối lãng mạn""]}]";TRUE;2025-04-20T18:00:00Z
i056;u021;Phú Quốc;"{""people"":4,""budget"":""Trung bình"",""interests"":[""family"",""amusement""]}";"[{""day"":1,""title"":""VinWonders và Safari"",""activities"":[""Chơi VinWonders"",""Safari""]},{""day"":2,""title"":""Bãi biển"",""activities"":[""Bãi Sao"",""Câu mực đêm (ghép đoàn)""}]}]";TRUE;2025-05-15T10:00:00Z
i057;u027;Đà Nẵng;"{""people"":2,""budget"":""Cao"",""interests"":[""beach"",""luxury""]}";"[{""day"":1,""title"":""Nghỉ dưỡng sang trọng"",""activities"":[""Check-in resort 5 sao"",""Bãi biển riêng""]},{""day"":2,""title"":""Sơn Trà"",""activities"":[""Bán đảo Sơn Trà"",""Chùa Linh Ứng""]}]";TRUE;2025-06-10T15:00:00Z
i058;u031;Nha Trang;"{""people"":1,""budget"":""Cao"",""interests"":[""yoga"",""wellness""]}";"[{""day"":1,""title"":""Relax và Bùn khoáng"",""activities"":[""Tắm bùn I-Resort"",""Spa""]},{""day"":2,""title"":""Yoga trên biển"",""activities"":[""Lớp Yoga sáng"",""Tắm biển""]}]";TRUE;2025-07-01T08:00:00Z
i059;u035;Hà Giang;"{""people"":2,""budget"":""Trung bình"",""interests"":[""roadtrip"",""motorbike""]}";"[{""day"":1,""title"":""Roadtrip Hà Giang"",""activities"":[""Đèo Quản Bạ"",""Ngủ homestay""]},{""day"":2,""title"":""Mã Pí Lèng"",""activities"":[""Phượt Mã Pí Lèng"",""Ngắm hẻm vực""]}]";TRUE;2025-07-20T10:00:00Z
i060;u039;Huế;"{""people"":2,""budget"":""Cao"",""interests"":[""architecture"",""history""]}";"[{""day"":1,""title"":""Cố đô"",""activities"":[""Đại Nội"",""Chùa Thiên Mụ""]},{""day"":2,""title"":""Lăng tẩm"",""activities"":[""Lăng Khải Định"",""Lăng Minh Mạng""]}]";TRUE;2025-08-10T14:00:00Z
i061;u043;Hà Nội;"{""people"":2,""budget"":""Trung bình"",""interests"":[""nightlife"",""cafe""]}";"[{""day"":1,""title"":""Cafe và Phố Cổ"",""activities"":[""Cafe Giảng (trứng)"",""Phố Tạ Hiện""]},{""day"":2,""title"":""Hồ Tây"",""activities"":[""Cafe Hồ Tây"",""Dạo quanh Hồ Gươm""]}]";FALSE;2025-08-28T18:00:00Z
i062;u047;TP.HCM;"{""people"":1,""budget"":""Trung bình"",""interests"":[""warhistory"",""museum""]}";"[{""day"":1,""title"":""Bảo tàng và Dinh"",""activities"":[""Bảo tàng Chứng tích CT"",""Dinh Độc Lập""]},{""day"":2,""title"":""Địa đạo Củ Chi"",""activities"":[""Tour Địa đạo Củ Chi""]}]";TRUE;2025-09-15T09:00:00Z
i063;u051;Cần Thơ;"{""people"":1,""budget"":""Thấp"",""interests"":[""food"",""local""]}";"[{""day"":1,""title"":""Chợ và ăn uống"",""activities"":[""Bến Ninh Kiều"",""Thưởng thức Lẩu mắm""]},{""day"":2,""title"":""Chợ nổi"",""activities"":[""Chợ nổi Cái Răng"",""Thăm lò kẹo dừa""]}]";TRUE;2025-10-05T07:00:00Z
i064;u055;Đà Lạt;"{""people"":3,""budget"":""Cao"",""interests"":[""adventure"",""watersport""]}";"[{""day"":1,""title"":""Canyoning"",""activities"":[""Đu dây vượt thác Datanla"",""Trượt máng""]},{""day"":2,""title"":""Hồ Tuyền Lâm"",""activities"":[""Chèo kayak Hồ Tuyền Lâm""]}]";TRUE;2025-10-25T11:00:00Z
i065;u059;Hạ Long;"{""people"":1,""budget"":""Thấp"",""interests"":[""solo"",""backpacking""]}";"[{""day"":1,""title"":""Tour giá rẻ"",""activities"":[""Du thuyền Hạ Long (ghép đoàn)"",""Chèo kayak""]},{""day"":2,""title"":""Tự khám phá"",""activities"":[""Bãi Cháy"",""Chợ Hạ Long""]}]";TRUE;2025-11-15T10:00:00Z
i066;u063;TP.HCM;"{""people"":2,""budget"":""Cao"",""interests"":[""finedining"",""review""]}";"[{""day"":1,""title"":""Review nhà hàng"",""activities"":[""Ăn tối nhà hàng rooftop"",""Bar cao cấp Q.1""]},{""day"":2,""title"":""Ẩm thực độc đáo"",""activities"":[""Nhà hàng ẩm thực Fusion"",""Cafe đặc biệt""]}]";TRUE;2025-12-05T20:30:00Z
i067;u071;Huế;"{""people"":2,""budget"":""Cao"",""interests"":[""history"",""architecture""]}";"[{""day"":1,""title"":""Đại Nội và sông Hương"",""activities"":[""Đại Nội"",""Du thuyền sông Hương""]},{""day"":2,""title"":""Lăng tẩm và chùa"",""activities"":[""Lăng Khải Định"",""Chùa Thiên Mụ""]}]";TRUE;2026-01-15T09:00:00Z
